id,gender,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
44,female,0.0501722,0.9160264,0.8072912,0.12380399,-0.25357643,0.14307585,-0.53821445,-0.07685828,-0.17255285
45,female,-0.011278598,-0.4606989,0.3733271,-0.0019309968,-0.28554738,0.26144004,-0.17946278,0.24823305,-0.16017298
46,female,0.01802213,0.1741173,0.5019337,0.06813847,-0.28613666,0.22343007,-0.38138178,0.12298844,-0.044439364
47,female,0.018576162,0.17371847,0.5029853,0.062572554,-0.28770155,0.22031148,-0.3852641,0.12706594,-0.0421009
48,female,-0.018198928,-0.23465541,0.5126959,-0.019493459,-0.2524544,0.2927307,-0.17929377,0.18148239,-0.189262
49,female,-0.011540451,-0.4628667,0.37352937,-5.115772e-05,-0.28420696,0.2645707,-0.17536275,0.24837366,-0.16152807
50,female,0.10784027,0.7958434,0.48876247,0.23281409,-0.1392249,0.94289696,-0.380572,0.5834116,1.031693
51,female,0.06263276,0.8240915,-0.013923076,0.31334734,-0.41908482,0.32343453,-0.6409604,0.3704342,0.98772687
52,female,0.09784832,1.0518615,0.8952977,0.14006317,-0.05308004,0.9259034,-0.29494444,0.43390426,0.63215685
53,female,0.036230277,0.584149,1.0000337,0.012710024,-0.01370456,0.8978727,-0.12097277,0.30975878,0.2473257
54,female,0.029508106,-0.04636527,-0.18698621,0.22979537,-0.41101333,0.39313865,-0.44140953,0.49597374,0.86713344
55,female,-0.02240326,-0.48879823,0.16500002,0.02732666,-0.39398584,0.032671127,-0.31505826,0.17190458,-0.14464447
56,female,0.06243454,0.24382676,-0.15609744,0.28678092,-0.36948454,0.5790044,-0.4764781,0.60300297,1.1667849
57,female,0.004310537,0.12148896,0.36535624,0.09236714,-0.32120386,0.20770219,-0.38817793,0.1360615,0.06868883
58,female,0.04817532,0.07260647,0.3462941,0.13173015,-0.253273,0.5002705,-0.3064835,0.39896896,0.37663805
59,female,0.02997015,0.01866158,0.061052516,0.1839397,-0.3418959,0.42318666,-0.36300883,0.4291989,0.60901093
60,female,0.024391474,0.20867774,0.2770691,0.1710089,-0.2563367,0.56494606,-0.27532285,0.38852465,0.54996544
61,female,0.0043865917,0.091761045,0.5954197,0.034655824,-0.21018454,0.42147046,-0.20362078,0.21044531,-0.020007402
62,female,0.05129665,0.32241207,0.24862415,0.20814508,-0.26941139,0.5620689,-0.37408048,0.4118529,0.6590997
63,female,-0.0030125577,0.033241924,0.29369193,0.14448272,-0.2757876,0.41986418,-0.24816695,0.25279608,0.26498508
64,female,0.027444784,0.5297077,0.40301067,0.15134095,-0.31344768,0.26675847,-0.48426965,0.14037722,0.28093842
65,female,0.0062488867,0.3368384,0.4423729,0.100416034,-0.29826617,0.25968248,-0.34605366,0.15795638,0.10782272
66,female,0.03469298,0.026946373,-0.26409855,0.26139617,-0.44227543,0.3568366,-0.5019948,0.4982985,0.9608084
