food_name,gender,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
6시내고향,male,-0.04763450060379675,0.021261940479043017,-0.2375711306079401,-0.39088915979243755,-0.07568986733833892,-0.30399852777929387,-0.23947975560604004,-0.29558049544168014,-0.1955582573196847
REALPrice바닐라아이스크림,male,-0.40526751108026854,0.09431665643050627,-0.09942429486613073,-0.11809140645334372,0.21059041396215197,-0.21926949863283518,-0.10922937206277547,-0.12551757462578106,-0.10742352279117212
REALPrice초코아이스크림,male,-0.27208038744727003,0.08919437871936624,-0.1169174991291999,-0.15262970601755133,0.1894330445154213,-0.1939455843545194,-0.07726365729946712,-0.11355037672639813,-0.10336983826823032
THE엑설런트바닐라의꿈,male,-0.20936607139467975,-0.34605243388239487,-0.10637122926393941,-0.10459141186043541,0.6257172867181144,-0.4199356742224103,-0.24869636120641864,-0.08588094071278553,0.0038949444474230543
THE엑설런트오리지날,male,-0.3330805560371891,-0.2223025924232739,-0.12265658631707702,-0.14260624625151497,0.4290987918358972,-0.34543910052142196,-0.20836945778495244,-0.12457896554050714,-0.03843089001357188
THE엑설런트클래식,male,-0.3530740431852611,-0.17618605523468647,-0.12979816057314697,-0.15906536108678343,0.35875318107551174,-0.3212913026615796,-0.19590802672850777,-0.13981312420344377,-0.05602388968768219
TRADERS메로나멀티,male,-0.3022193292353615,0.22300828822803623,-0.08105051265623317,-0.09997068514421042,0.21028226854615611,-0.2588852525993163,-0.13611291532246206,-0.10987125148495923,-0.1289675332145797
가나민트초코콘,male,-0.26496159674260866,0.23927173398224033,-0.1294933441896098,-0.213116826734322,0.10231854055988314,-0.2321801288575833,-0.10060017188017596,-0.12730908745798988,-0.13900333626701306
가나아이스모나카,male,-0.346515586600062,0.1285208237494555,-0.15531995393126777,-0.23353626143730208,0.020136950533599752,-0.18946947015029744,-0.09167396928264562,-0.12338653993761309,-0.09820477745305853
가나아이스바,male,0.11974172082991569,0.2241810019261422,-0.1464650670715885,-0.2522086464444916,0.17036019728152343,-0.33816583725547156,-0.20097549802531672,-0.21538696718786857,-0.2186370161974357
가나쿠키크런치콘,male,-0.24626861882337608,0.2321304972482368,-0.139488624048905,-0.21267132898571428,0.014791262970693907,-0.19958336380267389,-0.10266695882586223,-0.1459204150659807,-0.14612818413093065
가나크런치아몬드콘,male,-0.3377036687470413,0.1597629812355255,-0.15775812812116924,-0.24344142103743152,-0.0031769102712750413,-0.19155636013534585,-0.0954029531893686,-0.13552096323724205,-0.11340252411561437
강릉초당인절미순두부아이스크림,male,-0.2965996202583146,0.19485782264093385,-0.1378410329610483,-0.20442048215920292,0.033112968471572635,-0.17453887568646895,-0.07234021528277937,-0.11577384077293816,-0.11520934757170312
강릉초당초코순두부아이스크림,male,-0.5410993042377815,0.020857895408489667,-0.15818002197580974,-0.21114895689939203,-0.005465277598200729,-0.1358493074939673,-0.07357023626131201,-0.1539136867917964,-0.08805762365343901
고디바밀크초콜릿칩아이스크림,male,0.3570059707550227,-0.026839786777466037,-0.15032222788607152,-0.2839107946261811,0.5706378358703154,-0.5344284314703104,-0.30892344117240783,-0.25687744432574083,-0.22168722055408693
고디바벨지안다크초콜릿아이스크림,male,0.1792690524633472,-0.04173990046740469,-0.14610931134092842,-0.2577626203614577,0.5007718553282864,-0.4490454917621311,-0.24364490772278782,-0.21021716142157526,-0.17411913356926395
고디바스트로베리초콜릿칩아이스크림,male,0.06784731171145884,0.17350369664290674,-0.12001994269874551,-0.22045762103059335,0.37050176047566724,-0.40190954717043076,-0.22144721354281413,-0.23059607058899131,-0.23129731226323685
고디바카카오바닐라아이스크림,male,0.018702256721289806,-0.084588522616439,-0.09043181360838205,-0.12911687352131737,0.6273725424747089,-0.44574481974270136,-0.23061133071773174,-0.10296857102499718,-0.08610338505762433
고디바탄자니아다크앤밀크초콜릿아이스크림,male,0.15743470823063468,-0.020210617148589096,-0.14977198645068168,-0.26256775564770396,0.45077860254264346,-0.4559427600559921,-0.25995461667349506,-0.19974609894522552,-0.16371925870117793
고디바탄자니아다크초콜릿바나나아이스크림,male,0.045572212685991084,0.11312752990836339,-0.12233854915322422,-0.21116435807521283,0.3754687114034424,-0.3637419878153288,-0.1724551838056107,-0.1310854980108412,-0.14089608519447808
고디바퐁당초콜릿아이스크림,male,0.21503247433639538,0.1497305406893376,-0.11781294429905008,-0.22134994837201008,0.45369722723379585,-0.4431689675525152,-0.2383553603642632,-0.21072789773720352,-0.22150481555831558
고디바헤이즐넛프랄린아이스크림,male,0.07981407441687978,-0.06434904336070162,-0.16888170409872813,-0.28654667914494775,0.3750927214863358,-0.39520725314432326,-0.21982043668252985,-0.20627028780570822,-0.15163923492332146
곰곰그린티아이스크림,male,-0.23454935569397947,0.04469289357863058,-0.1513114657151972,-0.24340244565866478,0.21275762747410187,-0.29901069062209873,-0.16638798777728558,-0.1958165320671427,-0.1489453982707181
곰곰바닐라아이스크림,male,-0.54901364166339,0.027529084103182735,-0.14128605704278116,-0.19251140107205686,0.08963755698176697,-0.17883891984312608,-0.09253318722882073,-0.15741427605447053,-0.09854675894685959
곰곰스트로베리아이스크림,male,-0.24770602219652824,0.22906039088539207,-0.11111342434603154,-0.1877312624087506,0.21623918323990546,-0.2634480740888293,-0.1171568371753152,-0.17962805518710348,-0.18841869703718186
곰곰초코아이스크림,male,-0.14376643414244136,-0.026726887549103948,-0.13911507384497215,-0.2176800660101964,0.34559964578545554,-0.33020687295166457,-0.16986271163165212,-0.16000518405328856,-0.1184399530409644
곰표밀눈아이스크림,male,-0.25398012599938374,0.22825065011344622,-0.14487872020496936,-0.23232900074262827,0.03031996447486581,-0.2187109398055943,-0.11267320378115774,-0.16114472881323022,-0.15641720150457167
구구콘,male,-0.30425210243168443,0.15169919630384915,-0.1718616683425542,-0.2749576390318703,-0.022739355299333436,-0.21279262732286935,-0.10420834779998939,-0.0916994216388806,-0.07347125216491004
구구콘마다가스카르바닐라,male,-0.3401948354163912,0.06285462745377159,-0.15769102722529926,-0.23738389311942418,0.08363212246139223,-0.23095039203371256,-0.12404878182017574,-0.13208894553489783,-0.09090911025617399
구구콘스타바닐라향&,male,-0.30877981565362317,0.15173309782051636,-0.1695049795629142,-0.2716660956656322,-0.008802972538611363,-0.20269287149797607,-0.1021893619624557,-0.14951530451617798,-0.12169298729716957
구구콘쿠키바닐라,male,-0.3136575090518825,0.11321097367803912,-0.15775649336773417,-0.23873427351595805,0.03711207131017026,-0.1974961690972119,-0.09110608297639473,-0.10327341230044604,-0.0808997245349581
구구콘피넛버터,male,-0.28195671083947826,0.1464919991786002,-0.14571640064169164,-0.21571573413352005,0.04949678462274462,-0.19909888628513617,-0.09582159453039484,-0.11570770161566574,-0.10233837268102336
구구크러스터,male,-0.444387938502557,0.029580325455603334,-0.15359355533870417,-0.21377361883563786,0.05627717581511697,-0.19900752744074987,-0.10015808058242832,-0.0702173155657275,-0.028964089318550885
구구크러스터바닐라,male,-0.4124478607401193,0.11527172027581256,-0.15394442595230767,-0.2284789765378102,0.017802104120709566,-0.20122468905808472,-0.11631058849860244,-0.1657689669201728,-0.12347942945671873
